Model,Split,ROC-AUC,PR-AUC,F1-Score,Precision,Recall
XGBoost,S1 (Known-New),0.7462  ± 0.0005,0.7263  ± 0.0008,0.6554  ± 0.0006,0.7036  ± 0.0008,0.6135  ± 0.0008
Logistic Regression,S1 (Known-New),0.7291  ± 0.0006,0.7174  ± 0.0008,0.6981  ± 0.0005,0.5477  ± 0.0006,0.9623  ± 0.0003
XGBoost,S2 (New-New),0.6378  ± 0.0017,0.6345  ± 0.0023,0.5386  ± 0.0020,0.6342  ± 0.0025,0.4681  ± 0.0022
Logistic Regression,S2 (New-New),0.6734  ± 0.0017,0.6702  ± 0.0024,0.6899  ± 0.0014,0.5445  ± 0.0017,0.9413  ± 0.0011
